LONGITUDE,LATITUDE,SRCE_CNTRE,DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM
140.3082442,-32.2408145,workings,MEGAWS,"Copper, Silver, Gold, Graphite, Lead, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein unit 4,Willyama Supergroup unit 14
140.9095931,-32.2265256,Main Shaft,SCORPION,"Copper, Gold, Cobalt",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup
137.8036033,-35.7575954,,AMERICAN RIVER,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),hydrothermal alteration,Tapanappa Formation
137.4180814,-35.7543414,,KOHINOOR,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein unit 4,Tapanappa Formation
137.7608263,-35.7285424,,DEBNEYS,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein,Tapanappa Formation
138.9552172,-33.9516065,,LAGOON HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Appila Tillite
139.8384862,-31.9791925,working,EGAN,"Copper, Gold, Tungsten",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),hydrothermal alteration,Willyama Supergroup
134.961352,-30.6845213,SHAFT,COMPANY WELL,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Kenella Gneiss
134.4619881,-30.7058633,white patch on ridge,TOLMERS HILL,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Tarcoola Formation
134.1387181,-30.2165833,spoils,MALBOOMA,"Gold, Aluminium",Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Muckanippie Suite
134.4852817,-30.7628392,MEIS,BARTLETTS,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Fabian Quartzite Member
140.5942831,-32.4370955,dump?,DUFFIELDS BORE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Pualco Tillite
133.4991603,-26.9292993,imm SE of tank,WELLS GRANITE DOWNS,Gold,Low Significance,MUSGRAVE PROVINCE,quartz vein unit 4,Wataru Gneiss
