DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE,SRCE_CNTRE
NORTH MOOLOOLOO,"Zinc, Copper, Lead",Locally Significant,ADELAIDE GEOSYNCLINE,Woodendinna Dolomite,Woodendinna Dolomite,138.4387925,-30.6553964,
GREAT GLADSTONE,"Lead, Silver, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Tapley Hill Formation,139.2379294,-30.0596935,quarry
INVESTIGATOR 1,"Lead, Zinc",Low Significance,KANGAROO ISLAND (STANSBURY BASIN),White Point Conglomerate,,137.5594524,-35.5782644,Investigator 1
ISLAND LAGOON,"Lead, Zinc",Low Significance,CARIEWERLOO BASIN,Tapley Hill Formation,,136.6055357,-31.5910554,near PIL 10
MOORUNDIE,Zinc,Low Significance,MURRAY BASIN BASEMENT,Truro Volcanics,,139.5531881,-34.4228695,DEL12AC347
MORGANS CREEK,"Rare Earths, Copper, Lithium, Vanadium, Zinc",,ADELAIDE GEOSYNCLINE,,,138.6237267,-31.9918532,
NANKIVEL WEST,"Zinc, Molybdenum, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,,136.0244078,-32.6563864,
THUNDERDOME,"Lead, Silver, Zinc",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Willyama Supergroup,,141.0997071,-31.5755866,collar hole DF1
NE,"Lead, Silver, Zinc",,ADELAIDE GEOSYNCLINE,Parachilna Formation,Woodendinna Dolomite,138.1426885,-30.7997184,near DH BTB542
TIN HUT WELL,"Lead, Silver, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,135.7408758,-32.7295534,near hole RAM 334
BLACK GATE,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Broken Hill Group,,141.1521071,-31.6708866,collar hole RC86PO10
CHINAMANS WELL,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Belair Subgroup,140.1269702,-32.5725735,"sample # 58,861"
EMMIE BLUFF,"Copper, Silver, Cobalt, Zinc",Locally Significant,STUART SHELF,Tapley Hill Formation,Whyalla Sandstone,137.1544197,-31.1051224,near drill hole PEB 35
RADFORD CREEK,"Lead, Silver, Zinc",Locally Significant,ADELAIDE GEOSYNCLINE,Mernmerna Formation,Parachilna Formation,138.2178005,-32.0455314,trench
